Tên công việc,Địa điểm,Ngày cập nhật,Ngành nghề,Hình thức,Lương,Kinh nghiệm,Cấp bậc,Hết hạn nộp,Tên công ty,Địa chỉ công ty,Người liên hệ,Qui mô công ty,Loại hình hoạt động
Công Nhân Sửa Khuôn,['Đồng Nai'],05/12/2024,"Cơ khí / Ô tô / Tự động hóa , Bảo trì / Sửa chữa , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,03/01/2025,CÔNG TY TNHH DAEYEONG VINA,"Lô 406, Đường số 13, KCN Amata, Biên Hòa, Đồng Nai",Công ty Daeyeong Vina,,100% vốn nước ngoài
Chuyên viên Phòng Đấu thầu (Chủ đầu tư),['Hà Nội'],05/12/2024,"Xây dựng , Bất động sản",Nhân viên chính thức,Cạnh tranh,Trên 3 Năm,Nhân viên,03/01/2025,TỔNG CÔNG TY CỔ PHẦN THƯƠNG MẠI XÂY DỰNG,"Số 201 Minh Khai, phường Minh Khai, quận Hai Bà Trưng, Hà Nội",Ms. Thúy,100-499,Cổ phần
Trưởng Phòng R&D Nhà Hàng – Khu Vui Chơi,['Hà Nội'],05/12/2024,"Thực phẩm & Đồ uống , Nhà hàng / Khách sạn",Nhân viên chính thức,25 Tr - 35 Tr VND,2 - 3 Năm,Quản lý,03/01/2025,NHÀ SÁCH TIẾN THỌ,424 Nguyễn Trãi- Thanh Xuân - Hà Nội,Bộ phận tuyển dụng Tiến Thọ,1.000-4.999,Cổ phần
Kỹ sư QS/QC - Không yêu cầu kinh nghiệm,['Hà Nội'],05/12/2024,"Quản lý chất lượng (QA/QC) , Xây dựng",Nhân viên chính thức,Cạnh tranh,,Mới tốt nghiệp,03/01/2025,TỔNG CÔNG TY CỔ PHẦN THƯƠNG MẠI XÂY DỰNG,"Số 201 Minh Khai, phường Minh Khai, quận Hai Bà Trưng, Hà Nội",Ms. Thúy,100-499,Cổ phần
Kỹ thuật viên khúc xạ,['Hà Nội'],05/12/2024,Y tế / Chăm sóc sức khỏe,Nhân viên chính thức,9 Tr - 12 Tr VND,1 - 2 Năm,Nhân viên,03/01/2025,TẬP ĐOÀN Y TẾ VIỆT NGA,"Tầng 7, tòa nhà Hancorp Plaza, số 72 Trần Đăng Ninh, Cầu Giấy, Hà Nội.",Mrs Hằng,100-499,Cổ phần
Chuyên viên thu mua (Tiếng Trung),['Hà Nội'],05/12/2024,"Thu mua / Vật tư , Điện / Điện tử / Điện lạnh , Biên phiên dịch",Nhân viên chính thức,Cạnh tranh,Trên 5 Năm,Nhân viên,03/01/2025,TỔNG CÔNG TY CỔ PHẦN THƯƠNG MẠI XÂY DỰNG,"Số 201 Minh Khai, phường Minh Khai, quận Hai Bà Trưng, Hà Nội",Ms. Thúy,100-499,Cổ phần
NHÂN VIÊN QUẢN LÝ CHẤT LƯỢNG (NHÂN VIÊN QC),['Bến Tre'],05/12/2024,"Sản xuất / Vận hành sản xuất , Quản lý chất lượng (QA/QC)",Nhân viên chính thức,"7,5 Tr - 9 Tr VND",1 - 2 Năm,Nhân viên,03/01/2025,CÔNG TY CP CHẾ BIẾN DỪA Á CHÂU,"Khu công nghiệp Giao Long, Châu Thành, Bến Tre",MRS.THƯƠNG,100-499,Cổ phần
"Nhân viên kỹ thuật tòa nhà - Hoài Đức, Hà Nội",['Hà Nội'],05/12/2024,"Điện / Điện tử / Điện lạnh , Bảo trì / Sửa chữa",Nhân viên chính thức,Cạnh tranh,Chưa có kinh nghiệm,Nhân viên,03/01/2025,TỔNG CÔNG TY CỔ PHẦN THƯƠNG MẠI XÂY DỰNG,"Số 201 Minh Khai, phường Minh Khai, quận Hai Bà Trưng, Hà Nội",Ms. Thúy,100-499,Cổ phần
Nhân Viên Kinh Doanh HN,['Hà Nội'],05/12/2024,"Bán lẻ / Bán sỉ , Tiếp thị trực tuyến , Bán hàng / Kinh doanh",Nhân viên chính thức,10 Tr - 15 Tr VND,1 - 3 Năm,Nhân viên,03/01/2025,CÔNG TY CP TẬP ĐOÀN CÔNG NGHỆ QUẢNG ÍCH,"Z5-46 TTTM LePARC, KM 1,5 Pháp Vân, CV Yên Sở, Phường Yên Sở, Quận Hoàng Mai, Hà Nội",Ms. Dương,100-499,Cổ phần
Kỹ Sư Bảo Trì Cơ Khí (Từ 1 Năm Kinh Nghiệm),['Tây Ninh'],05/12/2024,Bảo trì / Sửa chữa,Nhân viên chính thức,Cạnh tranh,Lên đến 1 Năm,Nhân viên,03/01/2025,FICO CEMENT JOINT STOCK COMPANY TAY NINH - FICO-YTL,"26th Floor - Etown Central Tower, 11 Doan Van Bo Street, District 04, HCMC",Fico-YTL,499-1000,Cổ phần
Điều Dưỡng Đa Khoa,['Hà Nội'],05/12/2024,Y tế / Chăm sóc sức khỏe,Nhân viên chính thức,8 Tr - 10 Tr VND,1 - 2 Năm,Nhân viên,03/01/2025,TẬP ĐOÀN Y TẾ VIỆT NGA,"Tầng 7, tòa nhà Hancorp Plaza, số 72 Trần Đăng Ninh, Cầu Giấy, Hà Nội.",Mrs Hằng,100-499,Cổ phần
Nhân Viên Bán Hàng Quốc Tế (Tiếng Anh),['Hải Dương'],25/11/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh",Nhân viên chính thức,10 Tr - 20 Tr VND,,Nhân viên,15/12/2024,TẬP ĐOÀN AN PHÁT HOLDINGS,"Tầng 15, Tòa nhà PV Oil, 148 Hoàng Quốc Việt, Cầu Giấy",Hoàng Đạt,5.000-9.999,Cổ phần
Nhân Viên Kinh Doanh Thị Trường - Thanh Hóa,['Thanh Hóa'],05/12/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Tiếp thị trực tuyến",Nhân viên chính thức,10 Tr - 12 Tr VND,1 - 3 Năm,Nhân viên,03/01/2025,CÔNG TY CP TẬP ĐOÀN TÂN LONG,"Trụ sở chính tầng 14, tòa nhà Diamond Flower, số 48 Lê Văn Lương, Thanh Xuân, Hà Nội",Bộ Phận Tuyển Dụng,Hơn 2500,Cổ phần
Logistics Staff,['Hà Nội'],05/12/2024,Xuất nhập khẩu,Nhân viên chính thức,Cạnh tranh,,Mới tốt nghiệp,03/01/2025,CÔNG TY TNHH TERUMO VIỆT NAM,"Lô 44A-44B-44C, Khu công nghiệp Quang Minh, Thị Trấn Chi Đông, Huyện Mê Linh, Thành phố Hà Nội, Việt Nam",HR,1.000-4.999,Trách nhiệm hữu hạn
Nhân viên Truyền thông Nội bộ - Thu nhập 10.000.000 - 12.000.000 + PC Ăn trưa,['Hà Nội'],05/12/2024,"Truyền hình / Báo chí / Biên tập , Quảng cáo / Đối ngoại / Truyền Thông , Tổ chức sự kiện",Nhân viên chính thức,10 Tr - 12 Tr VND,1 - 2 Năm,Nhân viên,03/01/2025,CÔNG TY TNHH DƯỢC HUNMED,"Số 130, ngõ 32, tổ 6, Phường Kiến Hưng, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",BP. Tuyển Dụng,,Trách nhiệm hữu hạn
Giám Đốc Kinh Doanh Kênh Alpha AIA,"['Hà Nội', 'Hưng Yên']",05/12/2024,"Tư vấn , Ngân hàng , Bảo hiểm",Nhân viên chính thức,12 Tr - 29 Tr VND,1 - 3 Năm,Nhân viên,03/01/2025,AIA BẢO HIỂM NHÂN THỌ,"Văn Phòng 54 Nguyễn Chí Thanh, Hà Nội",HR.Dept,25-99,Cá nhân
Điều dưỡng Chuyên Khoa mắt,['Hà Nội'],25/11/2024,Y tế / Chăm sóc sức khỏe,Nhân viên chính thức,8 Tr - 10 Tr VND,1 - 2 Năm,Nhân viên,31/12/2024,TẬP ĐOÀN Y TẾ VIỆT NGA,"Tầng 7, tòa nhà Hancorp Plaza, số 72 Trần Đăng Ninh, Cầu Giấy, Hà Nội.",Mrs Hằng,100-499,Cổ phần
Hành chính nhân sự ( Tiếng Trung),['Hà Nội'],05/12/2024,"Hành chính / Thư ký , Nhân sự",Nhân viên chính thức,12 Tr - 15 Tr VND,1 - 3 Năm,Nhân viên,03/01/2025,CÔNG TY TNHH SHANHAIMAP VIỆT NAM,186 Nguyễn Thị Minh Khai- Phường 6- Quận 3- TP Hồ Chí Minh,Recruitment team,10-20,100% vốn nước ngoài
"Chuyên viên kiểm soát chi phí (Cost Controller) - Mảng Nhà hàng, Khách sạn",['Hà Nội'],05/12/2024,"Kế toán / Kiểm toán , Nhà hàng / Khách sạn",Nhân viên chính thức,10 Tr - 15 Tr VND,2 - 5 Năm,Nhân viên,03/01/2025,CÔNG TY CỔ PHẦN QUẢN LÝ KHÁCH SẠN VÀ KHU NGHỈ DƯỠNG LYNN TIMES THUỘC TẬP ĐOÀN ONSEN FUJI,"Số 2 Ngõ 95 Chùa bộc, Đống đa, Hà Nội",Ms Loan,500-999,Cổ phần
KẾ TOÁN TỔNG HỢP (ĐẮK LẮK),['Dak Lak'],05/12/2024,"Kế toán / Kiểm toán , Xuất nhập khẩu , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,8 Tr - 14 Tr VND,3 - 5 Năm,Nhân viên,03/01/2025,CÔNG TY CỔ PHẦN TẬP ĐOÀN XUẤT - NHẬP KHẨU TRÁI CÂY CHÁNH THU,"41 Đường 17, Khu Mỹ Thái 2, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",HR Dept,,Cổ phần
KẾ TOÁN TRƯỞNG CÔNG TY TỔNG THẦU,['Hà Nội'],05/12/2024,Kế toán / Kiểm toán,Nhân viên chính thức,25 Tr - 35 Tr VND,Trên 7 Năm,Nhân viên,03/01/2025,CÔNG TY CỔ PHẦN TẬP ĐOÀN DANKO,"Tòa Nhà C6, đường Trần Hữu Dực, phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội, Việt Nam",Bộ phận tuyển dụng,1.000-4.999,Cổ phần
Chuyên viên R&D Ứng dụng & Công nghệ (Bến Cát - Bình Dương),['Bình Dương'],05/12/2024,"Công nghệ sinh học , Công nghệ thực phẩm / Dinh dưỡng , Quản lý chất lượng (QA/QC)",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,03/01/2025,CÔNG TY CỔ PHẦN SỮA VITADAIRY VIỆT NAM,"Tầng 5 37 Tôn Đức Thắng, Phường Bến Nghé Quận 1 TP Hồ Chí Minh",Bộ phận Tuyển dụng,,Cổ phần
Nhân Viên Kỹ Thuật,['Hà Nội'],05/12/2024,"Điện / Điện tử / Điện lạnh , Bảo trì / Sửa chữa , Nội ngoại thất",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Nhân viên,03/01/2025,CÔNG TY TNHH THƯƠNG MẠI GIẢI PHÁP ƯU VIỆT,"A25-26 KDC Kim Sơn, Đường Nguyễn Hữu Thọ, Phường Tân Phong, Quận 7, TP.HCM",Bộ phận Tuyển dụng Công ty Ưu Việt Solutions,,Trách nhiệm hữu hạn
Thủ kho,['Long An'],05/12/2024,"Vận chuyển / Giao nhận / Kho vận , Kế toán / Kiểm toán , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,12 Tr - 14 Tr VND,2 - 3 Năm,Nhân viên,03/01/2025,CÔNG TY CỔ PHẦN NHỰA TÁI CHẾ DUY TÂN,"Lô D2, Cụm Công nghiệp Nhựa Đức Hòa Hạ, Xã Đức Hòa Hạ, Huyện Đức Hoà, Long An",Phòng Nhân Sự,100-499,Cổ phần
Kế toán kho,['Long An'],05/12/2024,"Vận chuyển / Giao nhận / Kho vận , Kế toán / Kiểm toán , Thu mua / Vật tư",Nhân viên chính thức,8 Tr - 11 Tr VND,,Nhân viên,03/01/2025,CÔNG TY CỔ PHẦN NHỰA TÁI CHẾ DUY TÂN,"Lô D2, Cụm Công nghiệp Nhựa Đức Hòa Hạ, Xã Đức Hòa Hạ, Huyện Đức Hoà, Long An",Phòng Nhân Sự,100-499,Cổ phần
"Nhân viên Kế hoạch tổng hợp & kiểm soát tiến độ, chất lượng (hạng mục thi công Cửa)",['Hà Nội'],05/12/2024,"Xây dựng , Cơ khí / Ô tô / Tự động hóa",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,03/01/2025,CÔNG TY CỔ PHẦN EUROWINDOW HOLDING,"Toà nhà văn phòng Eurowindow Office Building, số 02 Tôn Thất Tùng, Đồng Đa, Hà Nội",Phòng Nhân sự,1.000-4.999,Cổ phần
Nhân viên mua hàng,['Long An'],05/12/2024,"Bán hàng / Kinh doanh , Xuất nhập khẩu , Thu mua / Vật tư",Nhân viên chính thức,12 Tr - 14 Tr VND,1 - 2 Năm,Nhân viên,03/01/2025,CÔNG TY CỔ PHẦN NHỰA TÁI CHẾ DUY TÂN,"Lô D2, Cụm Công nghiệp Nhựa Đức Hòa Hạ, Xã Đức Hòa Hạ, Huyện Đức Hoà, Long An",Phòng Nhân Sự,100-499,Cổ phần
GIÁM SÁT KINH DOANH - BÌNH DƯƠNG,['Bình Dương'],05/12/2024,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh",Nhân viên chính thức,16 Tr - 22 Tr VND,2 - 5 Năm,Trưởng nhóm / Giám sát,03/01/2025,CÔNG TY CP TẬP ĐOÀN TÂN LONG,"Trụ sở chính tầng 14, tòa nhà Diamond Flower, số 48 Lê Văn Lương, Thanh Xuân, Hà Nội",Bộ Phận Tuyển Dụng,Hơn 2500,Cổ phần
Nhân viên Kinh doanh Thức Ăn Thú Cưng,"['Đồng Nai', 'Bình Dương', 'Bà Rịa - Vũng Tàu']",05/12/2024,"Chăn nuôi / Thú y , Công nghệ thực phẩm / Dinh dưỡng , Công nghệ sinh học",Nhân viên chính thức,Cạnh tranh,,Nhân viên,03/01/2025,DE HEUS LLC,"12B Floor, Sofic Tower No.10 Mai Chi Tho, Thu Thiem, Thu Duc City",HR.DEPT,1.000-4.999,100% vốn nước ngoài
Nhân Viên Mua hàng xây dựng,['Hải Dương'],05/12/2024,"Thu mua / Vật tư , Xây dựng",Nhân viên chính thức,10 Tr - 15 Tr VND,Trên 1 Năm,Nhân viên,03/01/2025,TẬP ĐOÀN AN PHÁT HOLDINGS,"Tầng 15, Tòa nhà PV Oil, 148 Hoàng Quốc Việt, Cầu Giấy",Hoàng Đạt,5.000-9.999,Cổ phần
LABORATORY SPECIALIST,['Bình Dương'],05/12/2024,"Hóa học , Dệt may / Da giày / Thời trang , Quản lý chất lượng (QA/QC)",Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Nhân viên,03/01/2025,CÔNG TY TNHH CRYSTAL ELEGANCE TEXTILES VIỆT NAM,"Khu sản xuất Bình Chuẩn, Bình Chuẩn, Thuận An, Bình Dương",PHONG NHAN SU,500-999,Trách nhiệm hữu hạn
[LONG THÀNH] Chuyên viên QA( tuyển mới),['Đồng Nai'],05/12/2024,"Quản lý chất lượng (QA/QC) , In ấn / Xuất bản , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,Trên 15 Tr VND,2 - 6 Năm,Nhân viên,03/01/2025,CÔNG TY TNHH SX BAO BÌ NAM VIỆT,"Lô 28, Đường số 2-KCN Tân Tạo, P.Tân Tạo A, Q.Bình Tân",Ms Nhàn,100-499,Trách nhiệm hữu hạn
Quản Lý Cửa Hàng - Mothercare Hà Nội,['Hà Nội'],05/12/2024,"Bán hàng / Kinh doanh , Quản lý điều hành , Dệt may / Da giày / Thời trang",Nhân viên chính thức,7 Tr - 10 Tr VND,1 - 2 Năm,Trưởng nhóm / Giám sát,03/01/2025,,,,,
Senior Procurement,['Dak Nông'],05/12/2024,"Thực phẩm & Đồ uống , Xuất nhập khẩu , Thu mua / Vật tư",Nhân viên chính thức,Cạnh tranh,5 - 9 Năm,Nhân viên,03/01/2025,,,,,
Sale Thị Trường Kênh GT,"['Đồng Nai', 'Bình Dương', 'Bà Rịa - Vũng Tàu']",05/12/2024,"Bán hàng / Kinh doanh , Tư vấn , Dịch vụ khách hàng",Nhân viên chính thức,10 Tr - 15 Tr VND,1 - 2 Năm,Nhân viên,03/01/2025,,,,,
Chuyên Viên Thiết Kế Và Media,['Hà Nội'],05/12/2024,"Mỹ thuật / Nghệ thuật / Thiết kế , Quảng cáo / Đối ngoại / Truyền Thông , Truyền hình / Báo chí / Biên tập",Nhân viên chính thức,10 Tr - 15 Tr VND,Trên 2 Năm,Nhân viên,03/01/2025,CÔNG TY CP CÔNG NGHỆ LED FAWOOKIDI,"326 Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân",Ms Thủy,100-499,
Trưởng phòng R&D,['Bà Rịa - Vũng Tàu'],05/12/2024,"Hàng gia dụng / Chăm sóc cá nhân , Sản xuất / Vận hành sản xuất , Ngành khác",Nhân viên chính thức,Trên 25 Tr VND,Trên 3 Năm,Trưởng nhóm / Giám sát,03/01/2025,CÔNG TY TNHH DELI MANAGEMENT CONSULTING,"Lầu 2, Tòa Nhà G8, 23 Trần Cao Vân, P. Đa Kao, Q.1, TP. HCM.",Phòng Nhân Sự,10-20,100% vốn nước ngoài
Kế toán tổng hợp,['Hà Nội'],05/12/2024,"Xuất nhập khẩu , Kế toán / Kiểm toán",Nhân viên chính thức,17 Tr - 19 Tr VND,4 - 6 Năm,Nhân viên,03/01/2025,CÔNG TY TNHH ĐẦU TƯ XNK QUỐC TẾ XANH,,Ms. Angela,25-99,
ASM Tây Bắc - Ngành Gia vị,['Phú Thọ'],05/12/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Thực phẩm & Đồ uống",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Trưởng nhóm / Giám sát,03/01/2025,CÔNG TY CỔ PHẦN LAVELA,"31 đường số 7, khu phố 5, phường An Phú, TP Thủ Đức",HR Dept,100-499,Cổ phần
Thực tập sinh Sales Online,['Hà Nội'],05/12/2024,"Bán lẻ / Bán sỉ , Tiếp thị trực tuyến",Thực tập,2 Tr - 4 Tr VND,,Sinh viên/ Thực tập sinh,03/01/2025,CÔNG TY CỔ PHẦN VUA NỆM,"Số 1 Đào Duy Anh, Đống Đa, Hà Nội và 137 Lê Quang Định, Bình Thạnh, Hồ Chí Minh",HR Department,500-999,Cổ phần
NHÂN VIÊN KHAI THÁC HÀNG HÓA (THU MUA HÀNG HÓA),['Hà Nội'],05/12/2024,"Xuất nhập khẩu , Quản lý chất lượng (QA/QC) , Thu mua / Vật tư",Nhân viên chính thức,9 Tr - 12 Tr VND,1 - 2 Năm,Nhân viên,03/01/2025,CÔNG TY CỔ PHẦN VĂN PHÒNG PHẨM HỒNG HÀ,"672 Ngô Gia Tự, Đức Giang, Long Biên, Hà Nội",Thuận Phạm,500-999,Cổ phần
Chuyên viên chăm sóc khách hàng (phụ trách IKEA),['Bà Rịa - Vũng Tàu'],05/12/2024,"Dịch vụ khách hàng , Hàng gia dụng / Chăm sóc cá nhân , Biên phiên dịch",Nhân viên chính thức,Trên 15 Tr VND,Trên 3 Năm,Nhân viên,03/01/2025,CÔNG TY TNHH DELI MANAGEMENT CONSULTING,"Lầu 2, Tòa Nhà G8, 23 Trần Cao Vân, P. Đa Kao, Q.1, TP. HCM.",Phòng Nhân Sự,10-20,100% vốn nước ngoài
Trưởng nhóm pháp chế Tập đoàn,['Hà Nội'],05/12/2024,"Luật / Pháp lý , Quản lý điều hành , Hành chính / Thư ký",Nhân viên chính thức,25 Tr - 30 Tr VND,3 - 5 Năm,Trưởng nhóm / Giám sát,03/01/2025,CÔNG TY CỔ PHẦN ĐẦU TƯ BẢO LAI,"Số 166 Phạm Văn Đồng, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Thành phố Hà Nội, Việt Nam",Ms An,500-999,Cổ phần
Bếp trưởng (Quản lý chung nhà hàng),['Thanh Hóa'],05/12/2024,Nhà hàng / Khách sạn,Nhân viên chính thức,Cạnh tranh,5 - 7 Năm,Quản lý,03/01/2025,CÔNG TY CỔ PHẦN ĐẦU TƯ VĂN PHÚ - INVEST,Tòa nhà Văn Phú - Số 104 Thái Thịnh - Trung Liệt - Đống Đa - Hà Nội,Ban Quản trị Nguồn Nhân lực,,Cổ phần
Quản lý Kinh doanh Kênh ETC - Dịch vụ Miền Bắc (Base Hà Nội),['Hà Nội'],05/12/2024,"Y tế / Chăm sóc sức khỏe , Dược phẩm , Bán hàng / Kinh doanh",Nhân viên chính thức,30 Tr - 50 Tr VND,1 - 3 Năm,Trưởng nhóm / Giám sát,03/01/2025,CÔNG TY CỔ PHẦN ANVY,"Xã Tân Tiến, huyện Văn Giang, tỉnh Hưng Yên",Ms Hoài,100-499,Cổ phần
[Đà nẵng] Giao dịch viên,['Đà Nẵng'],05/12/2024,"Ngân hàng , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,Chưa có kinh nghiệm,Nhân viên,03/01/2025,NGÂN HÀNG TMCP ĐẠI CHÚNG VIỆT NAM - PVCOMBANK,22 Ngô Quyền - Hoàn Kiếm - Việt Nam,Khối QT&PT NNL,1.000-4.999,Cổ phần
NHÂN VIÊN TRADE MARKETING,['Hà Nội'],05/12/2024,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Tiếp thị trực tuyến",Nhân viên chính thức,10 Tr - 15 Tr VND,1 - 2 Năm,Nhân viên,03/01/2025,CÔNG TY TNHH BÁN LẺ SAMMISHOP,"Số 159 Xuân Thủy, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội, Việt Nam",CÔNG TY TNHH BÁN LẺ SAMMISHOP,500-999,Trách nhiệm hữu hạn
Chuyên viên quay dựng video,['Hà Nội'],05/12/2024,"Tiếp thị / Marketing , Mỹ thuật / Nghệ thuật / Thiết kế , Quảng cáo / Đối ngoại / Truyền Thông",Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Nhân viên,03/01/2025,CÔNG TY CỔ PHẦN ANVY,"Xã Tân Tiến, huyện Văn Giang, tỉnh Hưng Yên",Ms Hoài,100-499,Cổ phần
"Nhân viên điều dưỡng Yên Xá, Thanh Trì",['Hà Nội'],05/12/2024,"Dược phẩm , Y tế / Chăm sóc sức khỏe",Nhân viên chính thức,8 Tr - 15 Tr VND,1 - 2 Năm,Nhân viên,03/01/2025,CÔNG TY CỔ PHẦN ANVY,"Xã Tân Tiến, huyện Văn Giang, tỉnh Hưng Yên",Ms Hoài,100-499,Cổ phần
Trưởng bộ phận kinh doanh dược liệu (Hồ Chí Minh),['Hà Nội'],05/12/2024,"Y tế / Chăm sóc sức khỏe , Dược phẩm",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Trưởng nhóm / Giám sát,03/01/2025,CÔNG TY CỔ PHẦN ANVY,"Xã Tân Tiến, huyện Văn Giang, tỉnh Hưng Yên",Ms Hoài,100-499,Cổ phần
