Tên công việc,Địa điểm,Ngày cập nhật,Ngành nghề,Hình thức,Lương,Kinh nghiệm,Cấp bậc,Hết hạn nộp,Tên công ty,Địa chỉ công ty,Người liên hệ,Qui mô công ty,Loại hình hoạt động
Kế Toán Siêu Thị,['Hồ Chí Minh'],05/12/2024,"Bán lẻ / Bán sỉ , Kế toán / Kiểm toán",Nhân viên chính thức,9 Tr - 12 Tr VND,1 - 2 Năm,Nhân viên,03/01/2025,CÔNG TY CỔ PHẦN KING FOOD MARKET,"571 Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, TP.HCM",Bộ phận tuyển dụng,1.000-4.999,Cổ phần
Senior Product Marketing Specialist,['Hồ Chí Minh'],05/12/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Tiếp thị trực tuyến",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Nhân viên,03/01/2025,YES4ALL TRADING SERVICES COMPANY LIMITED,"Floor 2, L'Mak Tower, 127 Hong Ha, Phu Nhuan District, HCMC",Talent Acquisition Team,100-499,
RECEPTIONIST,['Hồ Chí Minh'],05/12/2024,"Dịch vụ khách hàng , Hành chính / Thư ký , Ngành khác",Nhân viên chính thức,9 Tr - 12 Tr VND,2 - 4 Năm,Nhân viên,03/01/2025,CÔNG TY TNHH COBI ONE,Quận 7,Ms.Hằng,100-499,
[HCM] RETAIL KEY ACCOUNT EXECUTIVE,['Hồ Chí Minh'],05/12/2024,Bán hàng / Kinh doanh,Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,03/01/2025,CLASSIC FINE FOODS,"Lô Vb.17b-19-21a, Đường số 22, Khu Chế Xuất Tân Thuận, Quận 7, TP. HCM.",HR Dept,150,100% vốn nước ngoài
Illustrator,['Hồ Chí Minh'],02/12/2024,"Mỹ thuật / Nghệ thuật / Thiết kế , Kiến trúc , Xây dựng",Nhân viên chính thức,10 Tr - 15 Tr VND,Trên 1 Năm,Nhân viên,31/12/2024,CÔNG TY TNHH FLAMINPOP,"400/65 HT17, KP 5, Phường Hiệp Thành, Quận 12, Thành phố Hồ Chí Minh",HCNS,25-99,Trách nhiệm hữu hạn
Kỹ Thuật Vận Hành Tòa Nhà (Căn Hộ Cao Cấp),['Hồ Chí Minh'],30/11/2024,"Điện / Điện tử / Điện lạnh , Bảo trì / Sửa chữa , Bất động sản",Nhân viên chính thức,Cạnh tranh,Chưa có kinh nghiệm,Nhân viên,29/12/2024,SAVILLS VIETNAM,"Doji Tower, 81 - 85 Ham Nghi Street, District 1, HCMC, Vietnam",Ms. Tu Nuy,1.000-4.999,Công ty đa quốc gia
Kế toán kho,['Hồ Chí Minh'],29/11/2024,Kế toán / Kiểm toán,Nhân viên chính thức,9 Tr - 12 Tr VND,,Mới tốt nghiệp,28/12/2024,CÔNG TY TNHH SX HIỆP PHƯỚC THÀNH,"LôA4C đường số 2, KCN Hiệp Phước",P. HCNS,25-99,
Sales Executive (HCM Office),['Hồ Chí Minh'],02/12/2024,"Dệt may / Da giày / Thời trang , In ấn / Xuất bản , Bán hàng / Kinh doanh",Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Nhân viên,31/12/2024,CÔNG TY TNHH SML VIỆT NAM,"Số 30, đường số 06, KCN Vsip II, P.Hòa Phú, Thủ Dầu Một, Bình Dương",HR Team,,Trách nhiệm hữu hạn
Bếp trưởng,['Hồ Chí Minh'],26/11/2024,"Thực phẩm & Đồ uống , Nhà hàng / Khách sạn",Nhân viên chính thức,10 Tr - 14 Tr VND,3 - 5 Năm,Trưởng nhóm / Giám sát,25/12/2024,CÔNG TY TNHH NHẬT HẠ - KHÁCH SẠN NHẬT HẠ,"12-14-16 Cao bá Quát, Phường Bến Nghé, Quân",Hảo,100-499,Trách nhiệm hữu hạn
Luật sư nội bộ - Dịch vụ Pháp lý về Tín dụng và Tố tụng,['Hồ Chí Minh'],25/11/2024,"Luật / Pháp lý , Ngân hàng",Nhân viên chính thức,Cạnh tranh,5 - 7 Năm,Nhân viên,24/12/2024,,,,,
